# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3843
#@/user_id	b176f87b-293e-4035-b0c9-fd7cf4777bf9
a 	啊	c=5 d=0.603844 t=3843
hong wai 	紅外	c=1 d=1 t=3514
hou 	後	c=3 d=0.759572 t=3843
hou mian 	後面	c=3 d=0.000568459 t=3843
hou qi 	後期	c=1 d=0.000710174 t=3843
hu yin meng 	胡茵夢	c=1 d=0.612626 t=3843
hua 	化	c=3 d=0.458411 t=3843
hua 	話	c=9 d=0.9212 t=3843
hua wen 	華文	c=1 d=0.472367 t=3843
hua xue 	化學	c=2 d=0.970446 t=3843
huai gu 	懷古	c=1 d=0.960789 t=3843
huan 	換	c=4 d=0.402188 t=3843
huan 	環	c=1 d=1.72966e-05 t=3843
huan pi fu 	換皮膚	c=1 d=0.985112 t=3843
huan yi ge 	換一個	c=1 d=0.0291588 t=3843
huang di 	皇帝	c=2 d=1.1322 t=3843
huang suan 	磺酸	c=2 d=0.301065 t=3843
huang suan na 	磺酸鈉	c=4 d=1.02058 t=3843
hui 	會	c=14 d=1.40076 t=3843
hui bu hui 	會不會	c=1 d=0.108067 t=3843
hui che 	回車	c=1 d=0.00164502 t=3843
hui da 	回答	c=1 d=0.357007 t=3843
hui qu 	回去	c=1 d=0.000173384 t=3843
huo 	或	c=1 d=1 t=3703
huo qu 	獲取	c=2 d=0.00510951 t=3843
huo zhe 	或者	c=6 d=1.09283 t=3843
ji 	及	c=1 d=0.121846 t=3843
ji 	極	c=1 d=0.923116 t=3843
ji bei 	幾倍	c=2 d=0.0998261 t=3843
ji ben 	基本	c=3 d=0.349118 t=3843
ji chang 	機場	c=3 d=0.000102681 t=3843
ji de 	記得	c=2 d=0.0465909 t=3843
ji du 	極度	c=1 d=0.128735 t=3843
ji ge 	幾個	c=1 d=0.000457378 t=3843
ji hu 	幾乎	c=1 d=1 t=3732
ji ke 	即可	c=1 d=1 t=3698
ji kuan 	幾款	c=0 d=0.00437178 t=3843
ji li 	極力	c=1 d=0.416862 t=3843
ji qian 	幾千	c=1 d=0.0483156 t=3843
ji shu 	技術	c=1 d=0.160414 t=3843
ji shu shui zhun 	技術水準	c=1 d=0.161218 t=3843
ji wei 	即位	c=1 d=0.366045 t=3843
ji xie 	機械	c=1 d=0.0109436 t=3843
ji xin ge 	基辛格	c=1 d=0.392586 t=3843
ji xu 	繼續	c=3 d=0.151101 t=3843
jia 	加	c=2 d=1.59156 t=3724
jia 	夾	c=9 d=0.300227 t=3843
jia 	甲	c=1 d=3.15165e-05 t=3843
jia ben 	甲苯	c=7 d=2.27138 t=3843
jia ji 	甲基	c=4 d=0.88692 t=3843
jian 	簡	c=1 d=0.927743 t=3843
jian 	鍵	c=3 d=0.250824 t=3843
jian dan 	簡單	c=1 d=0.00023056 t=3843
jian jie 	簡介	c=0 d=0.0054204 t=3843
jian li 	建立	c=1 d=0.451581 t=3843
jian qie 	剪切	c=0 d=0.0955997 t=3843
jian qie bei 	剪切被	c=1 d=0.960789 t=3843
jian she 	建設	c=0 d=0.0343009 t=3843
jian she de 	建設得	c=1 d=0.344728 t=3843
jian ti 	簡體	c=2 d=0.99005 t=3843
jian tie ban 	剪貼板	c=1 d=0.965605 t=3843
jian xing 	建興	c=1 d=0.00755912 t=3843
jian zhi 	簡直	c=1 d=0.937067 t=3843
jiang 	將	c=2 d=1.80252 t=3682
jiang 	講	c=1 d=0.174645 t=3843
jiang di 	降低	c=2 d=0.21589 t=3843
jiang qing 	江青	c=1 d=0.239309 t=3843
jiang ze min 	江澤民	c=1 d=0.704688 t=3843
jiao 	交	c=1 d=2.59329e-05 t=3843
jiao 	叫	c=1 d=0.0784731 t=3843
jiao 	教	c=1 d=0.882497 t=3843
